"ref";"name_fr";"name_en";"tags_fr";"tags_en";"cat";"pic";"unit";"wpu";"price";"exp";"prob"
5282.00;"abiyuch";"abiyuch";"fruit";"fruit";9.00;;1.00;0.00;;7.00;"1"
1498.00;"abricot";"apricot";"fruit";"fruit";9.00;"apricot";10.00;45.00;0.95;7.00;"4"
1694.00;"abricot (jus)";"apricot (juice)";;;9.00;;4.00;0.00;0.20;7.00;"4"
1507.00;"abricot (séché)";"apricot (dried)";"fruit,sec";"fruit lp";9.00;"dry_apricots";1.00;10.00;1.35;1000.00;"4"
6266.00;"agave";"agave";"légume";"vegetable";11.00;;1.00;0.00;;7.00;"2"
6268.00;"agave (séchée)";"agave (dried)";"légume,sec";"vegetable, dry";11.00;;1.00;0.00;;1000.00;"2"
4790.00;"agneau (aloyau)";"lamb (loin)";"viande";"meat";17.00;;1.00;0.00;5.50;3.00;"1"
3480.00;"agneau (brochette)";"lamb (kebabs)";"viande";"meat";17.00;;1.00;150.00;6.70;3.00;"5"
4792.00;"agneau (carré)";"lamb (rack)";"viande";"meat";17.00;;1.00;0.00;5.50;3.00;"5"
3601.00;"agneau (cervelle)";"lamb (brain)";"viande,abats";"meat, offal";17.00;;1.00;0.00;;1.00;"3"
3607.00;"agneau (coeur)";"lamb (heart)";"viande,abats";"meat, offal";17.00;;1.00;0.00;;1.00;"3"
4807.00;"agneau (collier)";"lamb (neck)";"viande";"meat";17.00;;1.00;0.00;;3.00;"3"
4796.00;"agneau (côte)";"lamb (rib)";"viande";"meat";17.00;;1.00;200.00;5.70;3.00;"4"
4795.00;"agneau (côtelette)";"lamb (chop)";"viande";"meat";17.00;"pork_chop";1.00;150.00;5.70;3.00;"5"
4797.00;"agneau (épaule)";"lamb (shoulder)";"viande";"meat";17.00;;1.00;0.00;;3.00;"3"
3453.00;"agneau (filet mignon)";"lamb (steak)";"viande";"meat";17.00;"lamb_tenderloin";1.00;100.00;5.40;3.00;"5"
3452.00;"agneau (filet)";"lamb (fillet)";"viande";"meat";17.00;"lamb_tenderloin";1.00;150.00;5.40;3.00;"5"
3615.00;"agneau (foie)";"lamb (liver)";"viande,abats";"meat, offal";17.00;;1.00;0.00;;1.00;"4"
4786.00;"agneau (gigot)";"lamb (leg)";"viande";"meat";17.00;;1.00;0.00;4.80;3.00;"4"
3640.00;"agneau (haché)";"lamb (chopped)";"viande";"meat";17.00;"minced_meat";1.00;0.00;1.95;1.00;"2"
4784.00;"agneau (jarret)";"lamb (shank)";"viande";"meat";17.00;;1.00;0.00;4.80;3.00;"2"
3636.00;"agneau (langue)";"lamb (tongue)";"viande,abats";"meat, offal";17.00;;1.00;0.00;;1.00;"1"
3450.00;"agneau (noix)";"lamb (nuts)";"viande";"meat";17.00;;1.00;0.00;4.95;3.00;"2"
3435.00;"agneau (poitrine)";"lamb (breast)";"viande";"meat";17.00;;1.00;0.00;;3.00;"3"
3479.00;"agneau (ragout)";"lamb (stew)";"viande";"meat";17.00;;1.00;0.00;4.80;3.00;"4"
3611.00;"agneau (rognons)";"lamb (kidney)";"viande,abats";"meat, offal";17.00;"kidneys";1.00;0.00;;1.00;"4"
3443.00;"agneau (selle)";"lamb (saddle)";"viande";"meat";17.00;;1.00;0.00;5.00;3.00;"2"
3199.00;"aiglefin (églefin)";"haddock";"poisson";"fish";15.00;;1.00;0.00;4.50;1.00;"2"
2394.00;"ail (gousse)";"garlic (clove)";"condiment";"condiment";11.00;;10.00;2.00;1.20;30.00;"5"
188.00;"ail (poudre)";"garlic (powder)";"condiment";"condiment";2.00;;1.00;0.00;9.60;1000.00;"3"
2318.00;"algue (agar, séchée)";"seaweed (agar, dried)";"plante";"plant";11.00;;1.00;0.00;;1000.00;"2"
2202.00;"algue (agar)";"seaweed (agar)";"plante";"plant";11.00;;1.00;0.00;;;"2"
2499.00;"algue (dulse, séchée)";"seaweed (dulse, dried)";"plante";"plant";11.00;;1.00;0.00;;1000.00;"2"
2203.00;"algue (mousse d'Irlande)";"seaweed (irish moss)";"plante";"plant";11.00;;1.00;0.00;;;"2"
2205.00;"algue (rhodyménie palmé)";"seaweed (dulse)";"plante";"plant";11.00;;1.00;0.00;;;"2"
2320.00;"algue (spiruline, séchée)";"algae (spirulina, dried)";"plante";"plant";11.00;;1.00;0.00;;1000.00;"2"
2204.00;"algue (varech)";"seaweed (kelp)";"plante";"plant";11.00;;1.00;0.00;;;"1"
2321.00;"algue (wakame)";"seaweed (wakame)";"plante";"plant";11.00;;1.00;0.00;;;"1"
3162.00;"alose";"shad";"poisson";"fish";15.00;;1.00;0.00;;1.00;"2"
2534.00;"amandes";"almonds";"fruit,sec";"fruit lp";12.00;"almonds";1.00;0.00;1.85;1000.00;"5"
4409.00;"amarante";"amaranth";"céréale";"cereal";20.00;;1.00;0.00;;1000.00;"3"
