ARRAY;INDEX;VALUE;TYPE
ACTIONS;0;Save;0
ACTIONS;1;Print;0
ACTIONS;2;Validate;0
ACTIONS;3;Accept;0
ACTIONS;4;Refuse;0
ACTIONS;5;Cancel;0
ACTIONS;6;Send;0
ACTIONS;7;New;0
ACTIONS;8;Show;0
ACTIONS;9;Share;0
ACTIONS;10;Transfer;0
ACTIONS;11;Finalize;0
ACTIONS;12;Drag;0
ACTIONS;13;Search;0
ACTIONS;14;Add;0
ACTIONS;15;Erase;0
ACTIONS;16;Close;0
ACTIONS;17;Connect;0
ACTIONS;18;Create;0
ACTIONS;19;Log off;0
ACTIONS;20;Log in;0
ACTIONS;21;Change;0
ACTIONS;22;OK;0
ACTIONS;23;Delete;0
ACTIONS;24;Modify;0
ACTIONS;25;Edit;0
ACTIONS;26;Restore;0
ACTIONS;27;Edit;0
ACTIONS;28;Enter;0
ACTIONS;29;Finish;0
ACTIONS;30;Report;0
ACTIONS;31;Try;0
ACTIONS;32;Look;0
ACTIONS;33;Block;0
ACTIONS;34;Renounce;0
ACTIONS;35;Sign in;0
ACTIONS;36;Tag;0
ACTIONS;37;Refresh;0
ACTIONS_LONG;0;Send by email;0
ACTIONS_LONG;1;Sort by;0
ACTIONS_LONG;2;Refresh the page;0
ACTIONS_LONG;3;Delete from results;0
ACTIONS_LONG;4;Withdraw from favorites;0
ACTIONS_LONG;5;Withdraw from menu;0
ACTIONS_LONG;6;Delete quick meal;0
ALLERGIES_KEYWORDS;0;egg;0
ALLERGIES_KEYWORDS;1;soy;0
ALLERGIES_KEYWORDS;2;sesame;0
ALLERGIES_KEYWORDS;3;celery;0
ALLERGIES_NAMES;0;Gluten;0
ALLERGIES_NAMES;1;Lactose;0
ALLERGIES_NAMES;2;Egg products;0
ALLERGIES_NAMES;3;Fish;0
ALLERGIES_NAMES;4;Shellfish;0
ALLERGIES_NAMES;5;Soy;0
ALLERGIES_NAMES;6;Nuts;0
ALLERGIES_NAMES;7;Sesame;0
ALLERGIES_NAMES;8;Celery;0
ARTICLES_ERRORS;0;Failed to load the content of the selected article.;1
ARTICLE_ALERTS;0;No article found;1
ARTICLE_ALERTS;1;No picture;1
ARTICLE_CATEGORIES;0;Cooking;0
ARTICLE_CATEGORIES;1;Health;0
ARTICLE_DISPLAY_TEXT;0;Keywords:;0
ARTICLE_DISPLAY_TEXT;1;Article picture;0
ARTICLE_DISPLAY_TEXT;2;Comments;0
ARTICLE_FORM_TEXT;0;Title;0
ARTICLE_FORM_TEXT;1;Category;0
ARTICLE_FORM_TEXT;2;Content;0
ARTICLE_FORM_TEXT;3;Source;0
ARTICLE_FORM_TEXT;4;Pictures;0
ARTICLE_FORM_TEXT;5;Keywords;0
CHEFS_ALERTS;0;No recipe;1
CHEF_TEXT;0;His recipes;0
CHEF_TEXT;1;Search for recipes from;0
COMMENTS_ALERTS;0;The comment was rated.;1
COMMENTS_ALERTS;1;The comment was successfully added.;1
COMMENTS_ALERTS;2;The personal note was successfully added.;1
COMMENTS_ALERTS;3;No comment was added.;1
COMMENTS_ALERTS;4;No personal note was added.;1
COMMENTS_ERRORS;0;Please wait some time before publishing a new comment.;1
COMMENTS_ERRORS;1;You may not rate your own comments.;1
