ARRAY;INDEX;VALUE;TYPE
ACTIONS;0;Sauver;0
ACTIONS;1;Imprimer;0
ACTIONS;2;Valider;0
ACTIONS;3;Accepter;0
ACTIONS;4;Refuser;0
ACTIONS;5;Annuler;0
ACTIONS;6;Envoyer;0
ACTIONS;7;Nouveau;0
ACTIONS;8;Montrer;0
ACTIONS;9;Partager;0
ACTIONS;10;Transférer;0
ACTIONS;11;Finaliser;0
ACTIONS;12;Glisser;0
ACTIONS;13;Rechercher;0
ACTIONS;14;Ajouter;0
ACTIONS;15;Effacer;0
ACTIONS;16;Fermer;0
ACTIONS;17;Connecter;0
ACTIONS;18;Créer;0
ACTIONS;19;Se déconnecter;0
ACTIONS;20;Se connecter;0
ACTIONS;21;Changer;0
ACTIONS;22;OK;0
ACTIONS;23;Supprimer;0
ACTIONS;24;Modifier;0
ACTIONS;25;Editer;0
ACTIONS;26;Restaurer;0
ACTIONS;27;Compléter;0
ACTIONS;28;Entrer;0
ACTIONS;29;Terminer;0
ACTIONS;30;Signaler;0
ACTIONS;31;Essayer;0
ACTIONS;32;Voir;0
ACTIONS;33;Bloquer;0
ACTIONS;34;Renoncer;0
ACTIONS;35;S'inscrire;0
ACTIONS;36;Tagger;0
ACTIONS;37;Rafraîchir;0
ACTIONS;38;Traduire;0
ACTIONS;39;Chercher;0
ACTIONS_LONG;0;Envoyer par;0
ACTIONS_LONG;1;Trier par;0
ACTIONS_LONG;2;Recharger la page;0
ACTIONS_LONG;3;Supprimer des résultats;0
ACTIONS_LONG;4;Retirer des favorites;0
ACTIONS_LONG;5;Retirer du menu;0
ACTIONS_LONG;6;Supprimer le repas rapide;0
ADMIN_FEEDBACK_ALERTS;0;Aucun feedback;3
ADMIN_FEEDBACK_ALERTS;1;Aucune statistique disponible;3
ADMIN_GLOSSARY_ALERTS;0;Le terme a été ajouté.;3
ADMIN_GLOSSARY_ALERTS;1;Le terme a été édité.;3
ADMIN_GLOSSARY_ALERTS;2;Le terme a été supprimé.;3
ADMIN_GLOSSARY_ALERTS;3;Le mot-clef choisi est trop court.;3
ADMIN_GLOSSARY_ALERTS;4;Voulez-vous vraiment supprimer le mot-clef;3
ADMIN_GLOSSARY_ALERTS;5;La définition est trop succincte.;3
ADMIN_GLOSSARY_ERRORS;0;Le mot-clef choisi est trop court.;3
ADMIN_GLOSSARY_ERRORS;1;Le mot-clef existe déjà.;3
ADMIN_GLOSSARY_ERRORS;2;Le mot-clef à éditer est introuvable.;3
ADMIN_GLOSSARY_ERRORS;3;La suppression du mot-clef a échoué.;3
ADMIN_GLOSSARY_ERRORS;4;La définition est trop succincte.;3
ADMIN_INGREDIENTS_ALERTS;0;Veuillez sélectionner un ingrédient parmi les propositions.;3
ADMIN_INGREDIENTS_ERRORS;0;La paire ingrédient-mois existe déjà.;3
ADMIN_PARTNERS_ALERTS;0;Le partenaire a été créé avec succès.;3
ADMIN_PARTNERS_ALERTS;1;Veuillez spécifier un nom de partenaire valide.;3
ADMIN_PARTNERS_ALERTS;2;Veuillez spécifier l'adresse web du partenaire.;3
ADMIN_PARTNERS_ALERTS;3;Veuillez spécifier l'adresse de la bannière.;3
ADMIN_PARTNERS_ALERTS;4;Veuillez sélectionner un partenaire.;3
ADMIN_PARTNERS_ALERTS;5;Voulez-vous vraiment supprimer le partenaire;3
ADMIN_PARTNERS_ALERTS;6;Le partenaire a été supprimé avec succès.;3
ADMIN_PARTNERS_ALERTS;7;Le partenaire a été édité avec succès.;3
