ARRAY;INDEX;TYPE;FR;EN;DE
ACTIONS;0;0;Sauver;Save;
ACTIONS;1;0;Imprimer;Print;
ACTIONS;2;0;Valider;Validate;
ACTIONS;3;0;Accepter;Accept;
ACTIONS;4;0;Refuser;Refuse;
ACTIONS;5;0;Annuler;Cancel;
ACTIONS;6;0;Envoyer;Send;
ACTIONS;7;0;Nouveau;New;
ACTIONS;8;0;Montrer;Show;
ACTIONS;9;0;Partager;Share;
ACTIONS;10;0;Transférer;Transfer;
ACTIONS;11;0;Finaliser;Finalize;
ACTIONS;12;0;Glisser;Drag;
ACTIONS;13;0;Rechercher;Search;
ACTIONS;14;0;Ajouter;Add;
ACTIONS;15;0;Effacer;Erase;
ACTIONS;16;0;Fermer;Close;
ACTIONS;17;0;Connecter;Connect;
ACTIONS;18;0;Créer;Create;
ACTIONS;19;0;Se déconnecter;Log off;
ACTIONS;20;0;Se connecter;Log in;
ACTIONS;21;0;Changer;Change;
ACTIONS;22;0;OK;OK;
ACTIONS;23;0;Supprimer;Delete;
ACTIONS;24;0;Modifier;Modify;
ACTIONS;25;0;Editer;Edit;
ACTIONS;26;0;Restaurer;Restore;
ACTIONS;27;0;Compléter;Edit;
ACTIONS;28;0;Entrer;Enter;
ACTIONS;29;0;Terminer;Finish;
ACTIONS;30;0;Signaler;Report;
ACTIONS;31;0;Essayer;Try;
ACTIONS;32;0;Voir;Look;
ACTIONS;33;0;Bloquer;Block;
ACTIONS;34;0;Renoncer;Renounce;
ACTIONS;35;0;S'inscrire;Sign in;
ACTIONS;36;0;Tagger;Tag;
ACTIONS;37;0;Rafraîchir;Refresh;
ACTIONS;38;0;Traduire;Translate;
ACTIONS;39;0;Chercher;Search;
ACTIONS;40;0;Suivant;Next;
ACTIONS;41;0;Invalider;Dismiss;
ACTIONS;42;0;Afficher;Display;
ACTIONS;43;0;Activer;Enable;
ACTIONS_LONG;0;0;Envoyer par;Send by email;
ACTIONS_LONG;1;0;Trier par;Sort by;
ACTIONS_LONG;2;0;Recharger la page;Refresh the page;
ACTIONS_LONG;3;0;Supprimer des résultats;Delete from results;
ACTIONS_LONG;4;0;Retirer des favorites;Withdraw from favorites;
ACTIONS_LONG;5;0;Retirer du menu;Withdraw from menu;
ACTIONS_LONG;6;0;Supprimer le repas rapide;Delete quick meal;
ADMIN_FEEDBACK_ALERTS;0;3;Aucun feedback;No feedback;
ADMIN_FEEDBACK_ALERTS;1;3;Aucune statistique disponible;No stat available;
ADMIN_FEEDBACK_ALERTS;2;3;Les questions sélectionnées ont été activées.;Selected questions have been activated.;
ADMIN_GLOSSARY_ALERTS;0;3;Le terme a été ajouté.;The keyword has been added.;
ADMIN_GLOSSARY_ALERTS;1;3;Le terme a été édité.;The keyword has been edited.;
ADMIN_GLOSSARY_ALERTS;2;3;Le terme a été supprimé.;The keyword has been deleted.;
ADMIN_GLOSSARY_ALERTS;3;3;Le mot-clef choisi est trop court.;The keyword is too short.;
ADMIN_GLOSSARY_ALERTS;4;3;Voulez-vous vraiment supprimer le mot-clef;Do you really want to delete the keyword;
ADMIN_GLOSSARY_ALERTS;5;3;La définition est trop succincte.;The definition is too short.;
ADMIN_GLOSSARY_ERRORS;0;3;Le mot-clef choisi est trop court.;The selected keyword is too short.;
ADMIN_GLOSSARY_ERRORS;1;3;Le mot-clef existe déjà.;The keyword already exists.;
ADMIN_GLOSSARY_ERRORS;2;3;Le mot-clef à éditer est introuvable.;The keyword to edit was not found.;
ADMIN_GLOSSARY_ERRORS;3;3;La suppression du mot-clef a échoué.;Keyword deletion failed.;
ADMIN_GLOSSARY_ERRORS;4;3;La définition est trop succincte.;The definition is too short;
